Episode,Revenue,Reward,Bookings,Inventory_Left
891,112500,1102.5,28,72
892,94500,962.5,26,74
893,82500,812.5,23,77
894,113000,1115.0,28,72
895,117000,1165.0,29,71
896,105000,1015.0,26,74
897,97000,915.0,24,76
898,117000,1165.0,29,71
899,106000,1040.0,27,73
900,113000,1115.0,28,72
901,88000,860.0,24,76
902,113000,1115.0,28,72
903,121000,1215.0,30,70
904,117000,1165.0,29,71
905,98000,950.0,25,75
906,105000,1015.0,26,74
907,113000,1115.0,28,72
908,112500,1112.5,28,72
909,113000,1115.0,28,72
910,100500,952.5,25,75
911,117000,1165.0,29,71
912,113000,1115.0,28,72
913,99500,1017.5,27,73
914,105000,1015.0,26,74
915,113000,1115.0,28,72
916,116000,1160.0,29,71
917,111500,1107.5,28,72
918,112500,1112.5,28,72
919,92000,860.0,23,77
920,104500,1012.5,26,74
921,91500,907.5,25,75
922,102000,1000.0,26,74
923,108500,1062.5,27,73
924,117000,1165.0,29,71
925,113000,1115.0,28,72
926,117000,1155.0,29,71
927,108500,1062.5,27,73
928,116500,1162.5,29,71
929,121000,1215.0,30,70
930,105000,1015.0,26,74
931,108500,1062.5,27,73
932,121000,1215.0,30,70
933,99000,1015.0,27,73
934,113000,1115.0,28,72
935,93500,947.5,26,74
936,121000,1215.0,30,70
937,109000,1065.0,27,73
938,105500,1047.5,27,73
939,112500,1112.5,28,72
940,108500,1062.5,27,73
941,99000,955.0,25,75
942,105000,1015.0,26,74
943,112500,1112.5,28,72
944,112500,1112.5,28,72
945,113000,1105.0,28,72
946,100500,962.5,25,75
947,112500,1112.5,28,72
948,108500,1062.5,27,73
949,112500,1112.5,28,72
950,112500,1112.5,28,72
951,113000,1115.0,28,72
952,105000,1015.0,26,74
953,112500,1112.5,28,72
954,108500,1062.5,27,73
955,121000,1215.0,30,70
956,113000,1115.0,28,72
957,113000,1115.0,28,72
958,104500,1012.5,26,74
959,117000,1165.0,29,71
960,121000,1215.0,30,70
961,105000,1015.0,26,74
962,104500,1012.5,26,74
963,102000,1060.0,28,72
964,117000,1165.0,29,71
965,108500,1052.5,27,73
966,108500,1062.5,27,73
967,108500,1062.5,27,73
968,117000,1165.0,29,71
969,113000,1115.0,28,72
970,108500,1062.5,27,73
971,112500,1102.5,28,72
972,103000,1005.0,26,74
973,109000,1065.0,27,73
974,99000,955.0,25,75
975,117000,1165.0,29,71
976,108500,1062.5,27,73
977,100500,962.5,25,75
978,117000,1165.0,29,71
979,121000,1215.0,30,70
980,101000,955.0,25,75
981,112500,1112.5,28,72
982,117000,1165.0,29,71
983,109000,1055.0,27,73
984,100500,942.5,25,75
985,117000,1165.0,29,71
986,91500,857.5,23,77
987,112500,1112.5,28,72
988,104000,990.0,26,74
989,121000,1215.0,30,70
990,117000,1165.0,29,71
991,108500,1062.5,27,73
992,112500,1112.5,28,72
993,112500,1112.5,28,72
994,105000,1015.0,26,74
995,112500,1112.5,28,72
996,117000,1165.0,29,71
997,121000,1215.0,30,70
998,117000,1165.0,29,71
999,104500,1012.5,26,74
1000,117000,1165.0,29,71
